Emiliano Martinez	ArgentiHola!-09-1992	195	30	aston villa	portero	00	00	
Geronimo Rulli	Argentina	20-05-1992	189	30	villarreal	portero	00	00	
Franco Armani	Argentina	16-08-1986	189	36	river	portero	00	00	
Nahuel Molina	Argentina	06-04-1998	175	24	atletico madrid	Defensa	00	00	
gonzalo Montiel	Argentina	01-01-1997	175	25	sevilla	Defensa	00	00	
Marcos Acuna	Argentina	28-08-1991	172	31	sevilla	Defensa	00	00	
Nicolas Otamendi	Argentina	12-02-1988	34	183	benfica	Defensa	00	00	
German Pezzella	Argentina	26-06-1991	187	31	betis	Defensa	00	00	
Cristian Romero	Argentina	27-04-1998	185	24	tottenham	Defensa	00	00	
Rodrigo de Paul	Argentina	24-05-1994	180	28	atletico madrid	mediocampista	00	00	
Angel di Maria	Argentina	14-02-1988	180	34	juventus	mediocampista	00	00	
Lisandro Martinez	Argentina	18-01-1998	175	24	manchester united	Defensa	00	00	
Nicolas Tagliafico	Argentina	31-08-1992	172	30	lyon	Defensa	00	00	
Juan Foyth	Argentina	12-01-1998	187	24	villarreal	Defensa	00	00	
Leandro Paredes	Argentina	26-06-1994	180	28	juventus	mediocampista	00	00	
Alexis mac Allister	Argentina	24-12-1998	176	23	brighton	mediocampista	00	00	
Guido Rodriguez	Argentina	12-04-1994	187	28	Betis	mediocampista	00	00	
Aalejandro Gomez	Argentina	15-02-1988	167	34	sevilla	mediocampista	00	00	
Enzo Fernandez	Argentina	17-01-2001	178	21	benfica	mediocampista	00	00	
Exequiel Palacios	Argentina	05-10-1998	177	24	leverkusen	mediocampista	00	00	
Thiago Almada	Argentina	26-04-2001	171	21	atlanta	mediocampista	00	00	
Lautaro Martinez	Argentina	22-08-1997	174	25	inter milan	delantero	00	00	
Julian Alvarez	Argentina	31-01-2000	170	22	manchester city	delantero	00	00	
Paulo Dybala	Argentina	15-11-1993	177	29	roma	delantero	00	00	
Angel Correa	Argentina	09-03-1995	171	27	atletico madrid	delantero	00	00	
Lionel Messi	Argentina	24-06-1987	169	35	psg	delantero	00	00	
Mathew Ryan	australia	08-04-1992	184	30	Copenhague	portero	00	00	
Andrew Redmayne	australia	13-01-1989	194	33	Sydney FC	portero	00	00	
Danny Vukovic	australia	27-03-1985	187	37	Central Coast Mariners	portero	00	00	
Aziz Behich	australia	16-12-1990	172	31	Dundee United	Defensa	00	00	
Milos Degenek	australia	28-04-1994	187	28	Columbus Crew	Defensa	00	00	
Thomas Deng	australia	20-03-1997	182	25	Aibirex Niigata	Defensa	00	00	
Joel King	australia	30-10-2000	179	22	Odense Boldklub	Defensa	00	00	
Nathaniel Atkinson	australia	13-06-1999	181	23	Hearts	Defensa	00	00	
Fran Karacic	australia	12-05-1996	181	26	Brescia	Defensa	00	00	
Harry Souttar	australia	22-10-1998	198	24	Stoke City	Defensa	00	00	
Kye Rowles	australia	24-06-1998	185	24	Hearts	Defensa	00	00	
Craig Goodwin	australia	16-12-1991	180	30	Adelaide United	Defensa	00	00	
Aaron Mooy	australia	15-09-1990	175	32	Celtic	mediocampista	00	00	
Jackson Irvine	australia	07-03-1993	189	29	St Pauli	mediocampista	00	00	
Ajdin Hrustic	australia	05-07-1996	183	26	Hellas Verona	mediocampista	00	00	
Bailey Wright	australia	28-07-1992	175	30	Sunderland	mediocampista	00	00	
Cameron Devlin	australia	07-06-1998	170	24	Hearts	mediocampista	00	00	
Riley McGree	australia	02-11-1998	175	24	Middlesbrough	mediocampista	00	00	
Keanu Baccus	australia	07-06-1998	178	24	St Mirren	mediocampista	00	00	
Awer Mabil	australia	15-09-1995	178	27	Cadiz	delantero	00	00	
Mathew Leckie	australia	04-02-1991	181	31	Melbourne City	delantero	00	00	
Martin Boyle	australia	25-04-1993	172	29	Hibernian	delantero	00	00	
James Maclaren	australia	29-07-1993	179	29	Melbourne City	delantero	00	00	
Jason Cummings	australia	01-08-1995	1878	27	Central Coast Mariners	delantero	00	00	
Mitchell Duke	australia	18-01-1991	185	31	Fagiano Okayama	delantero	00	00	
Garang Kuol	australia	15-09-2004	175	18	Coast Mariners	delantero	00	00	
Koen Casteels	belgica	25-06-1992	197	30	Wolfsburgo	portero	00	00	
Thibaut Courtois	belgica	11-05-1992	200	30	Real Madrid	portero	00	00	
Simon Mignolet	belgica	06-03-1988	193	34	Brujas	portero	00	00	
Toby Alderweireld	belgica	02-03-1980	187	33	Antwerp	Defensa	00	00	
Zeno Debast	belgica	24-10-2003	189	19	Anderlecht	Defensa	00	00	
Wout Faes	belgica	03-04-1998	187	24	Leicester City	Defensa	00	00	
Arthur Teate	belgica	25-05-2000	186	22	Rennes	Defensa	00	00	
Jan Vertonghen	belgica	24-04-1987	189	35	Anderlecht	Defensa	00	00	
Timoty Castagne	belgica	05-12-1995	185	27	Leicester City	Defensa	00	00	
Thomas Meunier	belgica	12-09-1991	191	31	Borussia Dortmund	Defensa	00	00	
Yannick Ferreira Carrasco	belgica	04-09-1993	181	29	atletico madrid	mediocampista	00	00	
Thorgan Hazard	belgica	29-03-1993	175	29	Borussia Dortmund	mediocampista	00	00	
Kevin de Bruyne	belgica	28-06-1991	181	31	Manchester City	mediocampista	00	00	
Leander Dendocker	belgica	15-04-1995	188	27	Aston Villa	mediocampista	00	00	
Amadou Onana	belgica	16-08-2001	192	21	Everton	mediocampista	00	00	
Yoeri Tielemans	belgica	07-05-1997	176	25	Leicester City	mediocampista	00	00	
Hans Vanaken	belgica	24-08-1992	195	30	Brujas	mediocampista	00	00	
Axel Witsel	belgica	12-01-1989	186	33	Atletico Madrid	mediocampista	00	00	
Charles de Ketelaere	belgica	10-03-2001	192	21	milan	mediocampista	00	00	
Jeremy Doku	belgica	27-05-2002	171	20	Rennes	mediocampista	00	00	
Marouane Fellaini	belgica	22-11-1987	194	35	Shandong Luneng	mediocampista	00	00	
eden hazard	belgica	07-01-1991	175	31	real madrid	delantero	00	00	
Dries Mertens	belgica	06-05-1987	169	35	Galatasaray	delantero	00	00	
Michy Batshuayi	belgica	02-10-1993	185	29	Fenerbahce	delantero	00	00	
Lois Openda	belgica	16-02-2000	177	22	Lens	delantero	00	00	
Romelu Lukaku	belgica	13-05-1993	191	29	inter Milan	delantero	00	00	
Alisson Becker	brasil	02-10-1992	191	30	Liverpool	portero	00	00	
Ederson Moraes	brasil	17-08-1993	188	29	Manchester City	portero	00	00	
Weverton Pereira	brasil	13-12-1987	189	34	Palmeiras	portero	00	00	
Dani Alves	brasil	06-05-1983	172	39	Pumas	Defensa	00	00	
Danilo Luiz	brasil	15-07-1991	184	31	Juventus	Defensa	00	00	
Alex Sandro	brasil	26-01-1991	180	31	Juventus	Defensa	00	00	
Alex Telles	brasil	15-12-1992	181	29	Sevilla	Defensa	00	00	
Gleison Bremer	brasil	18-03-1997	188	25	Juventus	Defensa	00	00	
eder Militao	brasil	18-01-1998	186	24	real madrid	Defensa	00	00	
Marcos Aoas	brasil	14-05-1994	183	28	psg	Defensa	00	00	
Thiago Silva	brasil	22-09-1984	181	38	Chelsea	Defensa	00	00	
Carlos Henrique	brasil	23-02-1992	185	30	Manchester United	mediocampista	00	00	
everton Augusto	brasil	10-04-1989	174	33	Flamengo	mediocampista	00	00	
Fabio Henrique	brasil	23-10-1993	188	29	Liverpool	mediocampista	00	00	
Frederico Rodrigues	brasil	05-03-1993	169	29	Manchester United	mediocampista	00	00	
Lucas Tolentino	brasil	27-08-1997	180	25	West Ham	mediocampista	00	00	
Antony Matheus	brasil	24-02-2000	174	22	Manchester United	delantero	00	00	
Gabriel Jesus	brasil	03-04-1997	175	25	Arsenal	delantero	00	00	
Gabriel Martinelli	brasil	18-06-2001	178	21	Arsenal	delantero	00	00	
Neymar Jr	brasil	05-02-1992	175	30	psg	delantero	00	00	
Pedro Guilherme	brasil	20-06-1997	185	25	Flamengo	delantero	00	00	
Raphael Dias	brasil	14-12-1996	176	25	Barcelona	delantero	00	00	
Richarlison	brasil	10-05-1997	184	25	Tottenham	delantero	00	00	
Rodrygo Silva	brasil	09-01-2001	174	21	Real Madrid	delantero	00	00	
Vinícius José	brasil	12-07-2000	176	22	Real Madrid	delantero	00	00	
Andra Onana	camerun	02-04-1996	190	26	Inter Milan	portero	00	00	
Devis Epassy	camerun	02-02-1993	187	29	OFI Creta	portero	00	00	
Simon Ngapandouetnbu	camerun	12-03-2003	186	19	Olympique de Marsella	portero	00	00	
Charles Castelletto	camerun	26-01-1995	186	27	Nantes	Defensa	00	00	
Enzo Ebosse	camerun	11-03-1999	185	23	Udinese	Defensa	00	00	
Collins Fai	camerun	13-08-1992	165	30	Al Tai	Defensa	00	00	
Olivier Mbaizo	camerun	15-08-1997	180	25	Philadelphia Union	Defensa	00	00	
Nouhou Tolo	camerun	23-06-1997	178	25	Seattle Sounders	Defensa	00	00	
Nicolas Alexis 	camerun	27-03-1990	180	32	Aris	Defensa	00	00	
Christopher Wooh	camerun	18-09-2001	191	21	Nantes	Defensa	00	00	
Georges Kevin Nkoudou	camerun	13-02-1995	172	27	Besiktas	Defensa	00	00	
Olivier Ntcham	camerun	09-02-1996	180	26	Swansea	mediocampista	00	00	
Gael Ondoa	camerun	04-11-1995	185	27	Hannover 96	mediocampista	00	00	
Martin Hongla	camerun	16-03-1998	182	24	Hellas Verona	mediocampista	00	00	
Pierre Kunde	camerun	26-07-1995	180	27	Olympiakos	mediocampista	00	00	
Samuel Oum Gouet	camerun	14-12-1997	179	24	Malines	mediocampista	00	00	
Andre Frank Zambo Anguissa	camerun	16-11-1995	184	27	Napoles	mediocampista	00	00	
Brice Ngamaleu	camerun	09-07-1994	181	28	Dynamo Moscu	mediocampista	00	00	
Jerome Ngom	camerun	30-09-1998	174	24	Colombe Sportive	delantero	00	00	
Marou Souaibou	camerun	03-12-2000	180	22	Coton Sport	delantero	00	00	
Christian Bassogog	camerun	18-10-1995	173	27	Shanghai Shenhua	delantero	00	00	
Bryan Mbeumo	camerun	07-08-1999	171	23	Brentford	delantero	00	00	
Jean Pierre Nsame	camerun	01-05-1993	188	29	Young Boys	delantero	00	00	
Vincent Aboubakar	camerun	22-02-1992	184	30	Al-Nassr	delantero	00	00	
Karl Toko-Ekambi	camerun	14-09-1992	185	30	Lyon	delantero	00	00	
Eric Maxim Choupo-Moting	camerun	23-03-1989	191	33	Bayern Munich	delantero	00	00	
James Pantemis	canada	21-02-1997	188	25	CF Montreal	portero	00	00	
Milan Borjan	canada	23-10-1987	196	35	Red Star Belgrado	portero	00	00	
Dayne St. Clair	canada	09-05-1997	191	25	Minnesota United	portero	00	00	
Samuel Adekugbe	canada	16-02-1995	175	27	Hatayspor	Defensa	00	00	
Joel Waterman	canada	24-02-1996	188	26	CF Montreal	Defensa	00	00	
Alistair Johnston	canada	08-10-1998	180	24	CF Montreal	Defensa	00	00	
Richie Laryea	canada	07-01-1995	175	27	Toronto FC	Defensa	00	00	
Kamal Miller	canada	16-05-1997	183	25	CF Montreal	Defensa	00	00	
Steven Vitória	canada	11-01-1987	195	35	Chaves	Defensa	00	00	
Derek Cornelius	canada	25-11-1997	187	25	Panetolikos	Defensa	00	00	
Liam Fraser	canada	13-02-1998	185	24	KMSK Deinze	mediocampista	00	00	
Ismael Kone	canada	16-06-2002	188	20	CF Montreal	mediocampista	00	00	
Mark Anthony Kaye	canada	02-12-1994	185	28	Toronto FC	mediocampista	00	00	
David Wotherspoon	canada	16-01-1990	181	32	St Johnstone	mediocampista	00	00	
Jonathan Osorio	canada	12-06-1992	175	30	Toronto FC	mediocampista	00	00	
Atiba Hutchinson	canada	08-02-1983	187	39	Besiktas	mediocampista	00	00	
Stephen Eustaquio	canada	21-12-1996	175	25	Oporto	mediocampista	00	00	
Samuel Piette	canada	12-11-1994	171	28	CF Montreal	mediocampista	00	00	
Liam Millar	canada	27-09-1999	181	23	Basilea	delantero	00	00	
Lucas Cavallini	canada	28-12-1992	175	29	Vancouver Whitecaps	delantero	00	00	
Ike Ugbo	canada	21-09-1998	186	24	Troyes	delantero	00	00	
Tajon Buchanan	canada	08-02-1999	183	23	Brujas	delantero	00	00	
